Vereador,Partido,Projeto: PLE 035/16 - PROC. 2749/16 - REQ. RENOVAÇÃO DE VOTAÇÃO DA EMENDA 01 - Data de votação: 16/05/2018 - Autoria: Governo Municipal - Resultado: sem quórum - Horário de início: 15:36:39  - Horário de término: 15:38:30 - Link para projeto: http://camarapoa.rs.gov.br/processos/130180
Adeli Sell,PT,Não votou
Airto Ferronato,PSB,Não
Aldacir Oliboni,PT,Não votou
Alvoni Medina,PRB,Não votou
André Carús,PMDB,Não votou
Cassio Trogildo,PTB,Não
Cassiá Carpes,PP,Não
Clàudio Janta,SDD,Não votou
Comandante Nádia,PMDB,Não
Dr. Goulart,PTB,Não
Dr. Thiago,DEM,Ausente
Elizandro Sabino,PTB,Não
Felipe Camozzato,NOVO,Não
Fernanda Melchionna,PSOL,Não votou
José Freitas,PRB,Ausente
João Bosco Vaz,PDT,Não votou
João Carlos Nedel,PP,Não
Lourdes Sprenger,PMDB,Não
Marcelo Sgarbossa,PT,Não votou
Mauro Pinheiro,REDE,Não
Mauro Zacher,PDT,Ausente
Mendes Ribeiro,PMDB,Não votou
Moisés Barboza,PSDB,Não votou
Monica Leal,PP,Não
Márcio Bins Ely,PDT,Ausente
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Não
Professor Alex Fraga,PSOL,Não votou
Professor Wambert,PROS,Não
Reginaldo Pujol,DEM,Não
Ricardo Gomes,PP,Não
Roberto Robaina,PSOL,Não votou
Rodrigo Maroni,PODE,Não
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PSD,Não votou
Valter Nagelstein,PMDB,Não votou
