Vereador,Partido,"Projeto: REQ. 119/09 - PROC. 3780/09 - Data de votação: 07/04/2010 - Autoria: ADELI SELL, ALDACIR OLIBONI, ENGENHEIRO COMASSETTO                             , FERNANDA MELCHIONNA                               , MARIA CELESTE, MAURO PINHEIRO, PEDRO RUAS, SOFIA CAVEDON - Resultado: Rejeitado - Horário de início: 16:43:04  - Horário de término: 16:46:33 - Link para projeto: http://camarapoa.rs.gov.br/processos/103501"
ADELI SELL,PT,Sim
Airto Ferronato,PSB,Não
Alceu Brasinha,PTB,Não
Aldacir Oliboni,PT,Sim
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Não votou
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Não votou
Dr. Raul,PMDB,Não
Elias Vidal,PPS,Não votou
Engº. Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Não
Idenir Cecchim,PMDB,Não votou
João Antonio Dib,PP,Não votou
João Bosco Vaz,PDT,Não votou
João Carlos Nedel,PP,Não votou
João Pancinha,PMDB,Não
Juliana Brizola,PDT,Não votou
Luiz Braz,PSDB,Não
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Não
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Não votou
Maurício Dziedricki,PTB,Não votou
Nelcir Tessaro,PTB,Não votou
Nilo Santos,PTB,Não
Paulinho Rubem Berta,PPS,Não votou
Pedro Ruas,PSOL,Sim
Reginaldo Pujol,DEM,Não votou
Sebastião Melo,PMDB,Justificado
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PDT,Não
Thiago Duarte,PDT,Não
Toni Proença,PPL,Não votou
Waldir Canal,PRB,Não votou
