Vereador,Partido,Projeto: REQ. ADIAMENTO PROC. 1827/07 - Data de votação: 29/11/2010 - Autoria: MARISTELA MAFFEI - Resultado: Rejeitado - Horário de início: 18:14:02  - Horário de término: 18:16:09 - Link para projeto: http://camarapoa.rs.gov.br/processos/84070
ADELI SELL,PT,Não votou
Airto Ferronato,PSB,Não votou
Alceu Brasinha,PTB,Sim
Aldacir Oliboni,PT,Não votou
Bernardino Vendruscolo,PMDB,Não
Beto Moesch,PP,Sim
Carlos Todeschini,PT,Não votou
DJ Cassiá,PTB,Não
Dr. Raul,PMDB,Não
Engº. Comassetto,PT,Não
Fernanda Melchionna,PSOL,Não
Haroldo de Souza,PMDB,Não votou
Idenir Cecchim,PMDB,Sim
João Antonio Dib,PP,Abstenção
João Bosco Vaz,PDT,Não votou
João Carlos Nedel,PP,Sim
Juliana Brizola,PDT,Não votou
Luiz Braz,PSDB,Não
Maria Celeste,PT,Representação externa
Mario Antonio Manfro,PSDB,Não votou
Maristela Maffei,PCdoB,Não
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Não
Maurício Dziedricki,PTB,Não votou
Nelcir Tessaro,PTB,Não votou
Nilo Santos,PTB,Não
Paulinho Rubem Berta,PPS,Não
Paulo Marques,PMDB,Não
Pedro Ruas,PSOL,Não
Reginaldo Pujol,DEM,Não
Sebastião Melo,PMDB,Não votou
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PDT,Não
Thiago Duarte,PDT,Não votou
Toni Proença,PPL,Sim
Waldir Canal,PRB,Não votou
