Vereador,Partido,Projeto: PLCE 006/10 - PROC. 2974/10 - EMENDA 02 - DESTACADA - Data de votação: 06/12/2010 - Autoria: GOVERNO MUNICIPAL - Resultado:  - Horário de início: 16:51:19  - Horário de término: 16:54:03 - Link para projeto: http://camarapoa.rs.gov.br/processos/108500
ADELI SELL,PT,Sim
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Não
Aldacir Oliboni,PT,Sim
Bernardino Vendruscolo,PMDB,Não
Beto Moesch,PP,Sim
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Não votou
Dr. Raul,PMDB,Não
Engº. Comassetto,PT,Representação externa
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Não
Idenir Cecchim,PMDB,Não
João Antonio Dib,PP,Não
João Bosco Vaz,PDT,Não
João Carlos Nedel,PP,Não
Juliana Brizola,PDT,Não votou
Luiz Braz,PSDB,Sim
Maria Celeste,PT,Sim
Mario Antonio Manfro,PSDB,Não votou
Maristela Maffei,PCdoB,Não
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Não
Maurício Dziedricki,PTB,Não
Nelcir Tessaro,PTB,Abstenção
Nilo Santos,PTB,Não votou
Paulinho Rubem Berta,PPS,Não
Paulo Marques,PMDB,Não
Pedro Ruas,PSOL,Não votou
Reginaldo Pujol,DEM,Não
Sebastião Melo,PMDB,Não
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PDT,Não
Thiago Duarte,PDT,Não votou
Toni Proença,PPL,Não
Waldir Canal,PRB,Não votou
