Vereador,Partido,Projeto: PLL 089/09 - PROC. 2074/09 - VETO TOTAL - Data de votação: 20/12/2010 - Autoria: TARCISO FLECHA NEGRA                               - Resultado: Projeto rejeitado/Veto mantido - Horário de início: 15:39:02  - Horário de término: 15:41:02 - Link para projeto: http://camarapoa.rs.gov.br/processos/101772
ADELI SELL,PT,Não votou
Airto Ferronato,PSB,Não
Alceu Brasinha,PTB,Não
Aldacir Oliboni,PT,Abstenção
Bernardino Vendruscolo,PMDB,Não
Beto Moesch,PP,Não
Carlos Todeschini,PT,Abstenção
DJ Cassiá,PTB,Não
Dr. Raul,PMDB,Não
Elias Vidal,PPS,Ausente
Engº. Comassetto,PT,Abstenção
Fernanda Melchionna,PSOL,Abstenção
Haroldo de Souza,PMDB,Ausente
Idenir Cecchim,PMDB,Não
João Antonio Dib,PP,Não
João Bosco Vaz,PDT,Não
João Carlos Nedel,PP,Não
Juliana Brizola,PDT,Ausente
Luiz Braz,PSDB,Não
Maria Celeste,PT,Abstenção
Mario Antonio Manfro,PSDB,Não
Mario Fraga,PDT,Não
Mauro Pinheiro,PT,Abstenção
Maurício Dziedricki,PTB,Não
Nelcir Tessaro,PTB,Abstenção
Nilo Santos,PTB,Não
Paulinho Rubem Berta,PPS,Não
Paulo Marques,PMDB,Não
Pedro Ruas,PSOL,Abstenção
Reginaldo Pujol,DEM,Não
Sebastião Melo,PMDB,Não
Sofia Cavedon,PT,Ausente
Tarciso Flecha Negra,PDT,Não
Thiago Duarte,PDT,Ausente
Toni Proença,PPL,Não
Waldir Canal,PRB,Ausente
