Vereador,Partido,Projeto: REQ. ADIAMENTO DO PLCL 009/10 - PROC. 1104/10 - Data de votação: 25/04/2011 - Autoria: SOFIA CAVEDON - Resultado: Sem quórum - Horário de início: 18:00:59  - Horário de término: 18:03:08 - Link para projeto: http://camarapoa.rs.gov.br/processos/106580
ADELI SELL,PT,Ausente
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Não votou
Aldacir Oliboni,PT,Não votou
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Não votou
Carlos Garcia,PMDB,Não votou
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Sim
Dr. Raul,PMDB,Sim
Elias Vidal,PPS,Ausente
Elói Guimarães,PTB,Sim
Emerson Dutra,PSOL,Não votou
Engº. Comassetto,PT,Não votou
Haroldo de Souza,PMDB,Sim
Idenir Cecchim,PMDB,Não votou
João Carlos Nedel,PP,Ausente
Luciano Marcantônio,PTB,Não votou
Luiz Braz,PSDB,Sim
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Não votou
Mario Fraga,PDT,Não votou
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Não votou
Nelcir Tessaro,PTB,Ausente
Nilo Santos,PTB,Sim
Paulinho Rubem Berta,PPS,Não votou
Pedro Ruas,PSOL,Não votou
Reginaldo Pujol,DEM,Não votou
Sebastião Melo,PMDB,Não votou
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Não votou
Thiago Duarte,PDT,Não votou
Toni Proença,PPL,Não votou
Waldir Canal,PRB,Não votou
