Vereador,Partido,Projeto: PLL 164/09 - PROC. 3628/09 - Data de votação: 27/04/2011 - Autoria: EMERSON DUTRA                                      - Resultado: Aprovado - Horário de início: 15:58:25  - Horário de término: 16:00:39 - Link para projeto: http://camarapoa.rs.gov.br/processos/103345
ADELI SELL,PT,Ausente
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Não
Aldacir Oliboni,PT,Sim
Bernardino Vendruscolo,PMDB,Abstenção
Beto Moesch,PP,Sim
Carlos Garcia,PMDB,Não votou
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Não votou
Dr. Raul,PMDB,Sim
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Sim
Emerson Dutra,PSOL,Sim
Engº. Comassetto,PT,Sim
Haroldo de Souza,PMDB,Ausente
Idenir Cecchim,PMDB,Não
João Carlos Nedel,PP,Não votou
Luciano Marcantônio,PTB,Não
Luiz Braz,PSDB,Não
Maria Celeste,PT,Sim
Mario Antonio Manfro,PSDB,Não
Mario Fraga,PDT,Não
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Não
Nelcir Tessaro,PTB,Não
Nilo Santos,PTB,Não
Paulinho Rubem Berta,PPS,Não votou
Pedro Ruas,PSOL,Sim
Reginaldo Pujol,DEM,Não
Sebastião Melo,PMDB,Não
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Abstenção
Toni Proença,PPL,Sim
Waldir Canal,PRB,Ausente
