Vereador,Partido,"Projeto: PELO 002/10 - PROC. 1387/10 - Data de votação: 25/05/2011 - Autoria: NELCIR TESSARO                                    , BERNARDINO VENDRUSCOLO, JOAO CARLOS NEDEL, MARIO MANFRO                                      , MAURO PINHEIRO, TARCISO FLECHA NEGRA                               - Resultado: Aprovado - Horário de início: 16:56:10  - Horário de término: 16:57:40 - Link para projeto: http://camarapoa.rs.gov.br/processos/106868"
ADELI SELL,PT,Sim
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Ausente
Aldacir Oliboni,PT,Sim
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Sim
Carlos Garcia,PMDB,Sim
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Sim
Dr. Raul,PMDB,Sim
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Sim
Engº. Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Sim
Idenir Cecchim,PMDB,Abstenção
João Antonio Dib,PP,Sim
João Carlos Nedel,PP,Sim
Luciano Marcantônio,PTB,Sim
Luiz Braz,PSDB,Sim
Maria Celeste,PT,Sim
Mario Antonio Manfro,PSDB,Sim
Mario Fraga,PDT,Sim
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Sim
Nelcir Tessaro,PTB,Ausente
Nilo Santos,PTB,Ausente
Paulinho Rubem Berta,PPS,Ausente
Pedro Ruas,PSOL,Sim
Reginaldo Pujol,DEM,Sim
Sebastião Melo,PMDB,Sim
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Sim
Toni Proença,PPL,Sim
Waldir Canal,PRB,Não votou
