Vereador,Partido,Projeto: PLCL 022/09 - PROC. 3926/09 - Data de votação: 06/06/2011 - Autoria: ADELI SELL - Resultado: Aprovado - Horário de início: 15:55:02  - Horário de término: 15:57:11 - Link para projeto: http://camarapoa.rs.gov.br/processos/103650
ADELI SELL,PT,Sim
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Não votou
Aldacir Oliboni,PT,Sim
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Não votou
Carlos Garcia,PMDB,Não votou
Carlos Todeschini,PT,Não votou
DJ Cassiá,PTB,Sim
Dr. Raul,PMDB,Sim
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Ausente
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Não votou
Idenir Cecchim,PMDB,Sim
João Antonio Dib,PP,Sim
João Carlos Nedel,PP,Sim
Luciano Marcantônio,PTB,Ausente
Luiz Braz,PSDB,Sim
Maria Celeste,PT,Sim
Mario Antonio Manfro,PSDB,Sim
Mario Fraga,PDT,Não votou
Mauro Pinheiro,PT,Ausente
Mauro Zacher,PDT,Sim
Nelcir Tessaro,PTB,Ausente
Nilo Santos,PTB,Sim
Paulinho Rubem Berta,PPS,Sim
Pedro Ruas,PSOL,Sim
Reginaldo Pujol,DEM,Sim
Sebastião Melo,PMDB,Não votou
Sofia Cavedon,PT,Ausente
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Não
Toni Proença,PPL,Sim
Waldir Canal,PRB,Não votou
