Vereador,Partido,Projeto: PLL 017/10 - PROC. 0626/10 - EMENDA 02 - Data de votação: 12/09/2011 - Autoria: DR. THIAGO DUARTE                                  - Resultado: Rejeitado - Horário de início: 18:37:09  - Horário de término: 18:40:06 - Link para projeto: http://camarapoa.rs.gov.br/processos/106097
ADELI SELL,PT,Não
Airto Ferronato,PSB,Não
Alceu Brasinha,PTB,Não votou
Aldacir Oliboni,PT,Ausente
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Não
Carlos Garcia,PMDB,Não votou
Carlos Todeschini,PT,Não
DJ Cassiá,PTB,Não
Dr. Raul,PMDB,Abstenção
Elias Vidal,PPS,Sim
Elói Guimarães,PTB,Não
Engº. Comassetto,PT,Não
Fernanda Melchionna,PSOL,Não votou
Haroldo de Souza,PMDB,Abstenção
Idenir Cecchim,PMDB,Abstenção
João Antonio Dib,PP,Abstenção
João Carlos Nedel,PP,Não
Luciano Marcantônio,PTB,Não
Luiz Braz,PSDB,Ausente
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Não
Mario Fraga,PDT,Não
Mauro Pinheiro,PT,Não
Mauro Zacher,PDT,Abstenção
Nelcir Tessaro,PTB,Abstenção
Nilo Santos,PTB,Abstenção
Paulinho Rubem Berta,PPS,Não
Pedro Ruas,PSOL,Não votou
Reginaldo Pujol,DEM,Não
Sebastião Melo,PMDB,Ausente
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Abstenção
Thiago Duarte,PDT,Abstenção
Toni Proença,PPL,Não
Waldir Canal,PRB,Ausente
