Vereador,Partido,Projeto: REQ. ADIAMENTO DA VOTAÇÃO DO PLE 032/11- PROC. 3066/11 - Data de votação: 19/09/2011 - Autoria: GOVERNO MUNICIPAL - Resultado: Rejeitado - Horário de início: 18:46:56  - Horário de término: 18:49:41 - Link para projeto: http://camarapoa.rs.gov.br/processos/113311
ADELI SELL,PT,Não votou
Airto Ferronato,PSB,Não votou
Alceu Brasinha,PTB,Não
Aldacir Oliboni,PT,Sim
Bernardino Vendruscolo,PMDB,Não
Beto Moesch,PP,Ausente
Carlos Garcia,PMDB,Não votou
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Não
Dr. Raul,PMDB,Não
Elias Vidal,PPS,Não
Elói Guimarães,PTB,Não
Engº. Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Não
Idenir Cecchim,PMDB,Não
João Antonio Dib,PP,Não
João Carlos Nedel,PP,Não
Luciano Marcantônio,PTB,Não
Luiz Braz,PSDB,Não
Maria Celeste,PT,Sim
Mario Antonio Manfro,PSDB,Não votou
Mario Fraga,PDT,Ausente
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Não
Nelcir Tessaro,PTB,Não
Nilo Santos,PTB,Não
Paulinho Rubem Berta,PPS,Não
Pedro Ruas,PSOL,Sim
Reginaldo Pujol,DEM,Não
Sebastião Melo,PMDB,Não votou
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Ausente
Thiago Duarte,PDT,Não
Toni Proença,PPL,Não
Waldir Canal,PRB,Não
