Vereador,Partido,Projeto: PLE 013/11 - PROC. 1071/11 - RENOVAÇÃO - Data de votação: 03/10/2011 - Autoria: GOVERNO MUNICIPAL - Resultado: Rejeitado - Horário de início: 14:48:04  - Horário de término: 14:50:56 - Link para projeto: http://camarapoa.rs.gov.br/processos/111258
ADELI SELL,PT,Representação externa
Alceu Brasinha,PTB,Sim
Aldacir Oliboni,PT,Abstenção
Bernardino Vendruscolo,PMDB,Ausente
Beto Moesch,PP,Sim
Carlos Garcia,PMDB,Ausente
Carlos Todeschini,PT,Abstenção
DJ Cassiá,PTB,Sim
Dr. Raul,PMDB,Sim
Elói Guimarães,PTB,Sim
Engº. Comassetto,PT,Abstenção
Fernanda Melchionna,PSOL,Não
Haroldo de Souza,PMDB,Não votou
Idenir Cecchim,PMDB,Ausente
João Antonio Dib,PP,Sim
João Carlos Nedel,PP,Sim
Luciano Marcantônio,PTB,Sim
Luiz Braz,PSDB,Sim
Lurdes da Lomba,PSB,Sim
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Ausente
Mario Fraga,PDT,Sim
Maristela Maffei,PCdoB,Ausente
Mauro Pinheiro,PT,Abstenção
Mauro Zacher,PDT,Sim
Nelcir Tessaro,PTB,Representação externa
Nilo Santos,PTB,Sim
Paulinho Rubem Berta,PPS,Sim
Pedro Ruas,PSOL,Não
Reginaldo Pujol,DEM,Ausente
Sebastião Melo,PMDB,Sim
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Sim
Toni Proença,PPL,Sim
Waldir Canal,PRB,Ausente
