Vereador,Partido,Projeto: PLE 040/11 - PROC. 3490/11 - EM. 32 - RENOVAÇÃO DE VOTAÇÃO - Data de votação: 12/12/2011 - Autoria: GOVERNO MUNICIPAL - Resultado: Aprovado - Horário de início: 15:17:48  - Horário de término: 15:20:06 - Link para projeto: http://camarapoa.rs.gov.br/processos/113744
ADELI SELL,PT,Não votou
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Sim
Aldacir Oliboni,PT,Sim
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Sim
Carlos Garcia,PMDB,Sim
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Sim
Dr. Raul,PMDB,Sim
Elias Vidal,PPS,Sim
Elói Guimarães,PTB,Sim
Engº. Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Ausente
Haroldo de Souza,PMDB,Não votou
Idenir Cecchim,PMDB,Sim
João Antonio Dib,PP,Não
João Carlos Nedel,PP,Sim
Luciano Marcantônio,PTB,Não
Luiz Braz,PSDB,Sim
Maria Celeste,PT,Sim
Mario Antonio Manfro,PSDB,Sim
Mario Fraga,PDT,Não votou
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Ausente
Nelcir Tessaro,PTB,Não votou
Nilo Santos,PTB,Sim
Paulinho Rubem Berta,PPS,Sim
Pedro Ruas,PSOL,Sim
Reginaldo Pujol,DEM,Não votou
Sebastião Melo,PMDB,Sim
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Não votou
Toni Proença,PPL,Sim
Waldir Canal,PRB,Sim
