Vereador,Partido,"Projeto: PLCL 016/09 - PROC. 2599/09 - Data de votação: 21/12/2011 - Autoria: PEDRO RUAS, FERNANDA MELCHIONNA                                - Resultado: Rejeitado - Horário de início: 19:46:23  - Horário de término: 19:48:25 - Link para projeto: http://camarapoa.rs.gov.br/processos/102301"
ADELI SELL,PT,Não
Airto Ferronato,PSB,Não votou
Alceu Brasinha,PTB,Não
Aldacir Oliboni,PT,Não
Bernardino Vendruscolo,PMDB,Não
Beto Moesch,PP,Sim
Carlos Garcia,PMDB,Não
Carlos Todeschini,PT,Não
DJ Cassiá,PTB,Não
Dr. Raul,PMDB,Não
Elias Vidal,PPS,Não
Elói Guimarães,PTB,Não
Engº. Comassetto,PT,Não
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Não
Idenir Cecchim,PMDB,Não
João Antonio Dib,PP,Não
João Carlos Nedel,PP,Não
Luciano Marcantônio,PTB,Não votou
Luiz Braz,PSDB,Não votou
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Não votou
Mario Fraga,PDT,Não
Mauro Pinheiro,PT,Não votou
Mauro Zacher,PDT,Não
Nelcir Tessaro,PTB,Não
Nilo Santos,PTB,Não
Paulinho Rubem Berta,PPS,Não votou
Pedro Ruas,PSOL,Sim
Reginaldo Pujol,DEM,Não
Sebastião Melo,PMDB,Não
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PDT,Não
Thiago Duarte,PDT,Não
Toni Proença,PPL,Não
Waldir Canal,PRB,Abstenção
