Vereador,Partido,Projeto: PROC. 3862/08 - DISPENSA ENVIO EM. 16 A COMISSÕES - Data de votação: 21/12/2011 - Autoria: BETO MOESCH - Resultado: Aprovado - Horário de início: 11:02:47  - Horário de término: 11:04:57 - Link para projeto: http://camarapoa.rs.gov.br/processos/96357
ADELI SELL,PT,Não
Airto Ferronato,PSB,Ausente
Alceu Brasinha,PTB,Não
Aldacir Oliboni,PT,Não votou
Bernardino Vendruscolo,PMDB,Sim
Beto Moesch,PP,Sim
Carlos Garcia,PMDB,Ausente
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Não
Dr. Raul,PMDB,Sim
Elias Vidal,PPS,Não
Elói Guimarães,PTB,Não
Engº. Comassetto,PT,Não
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Sim
Idenir Cecchim,PMDB,Sim
João Antonio Dib,PP,Sim
João Carlos Nedel,PP,Não
Luciano Marcantônio,PTB,Ausente
Luiz Braz,PSDB,Não
Maria Celeste,PT,Ausente
Mario Antonio Manfro,PSDB,Ausente
Mario Fraga,PDT,Sim
Mauro Pinheiro,PT,Não votou
Mauro Zacher,PDT,Ausente
Nelcir Tessaro,PTB,Sim
Nilo Santos,PTB,Não
Paulinho Rubem Berta,PPS,Sim
Pedro Ruas,PSOL,Ausente
Reginaldo Pujol,DEM,Não
Sebastião Melo,PMDB,Não votou
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Não votou
Thiago Duarte,PDT,Ausente
Toni Proença,PPL,Sim
Waldir Canal,PRB,Ausente
