Vereador,Partido,Projeto: PLCL 010/09 - PROC. 1533/09 - VETO TOTAL - Data de votação: 21/03/2012 - Autoria: BERNARDINO VENDRUSCOLO - Resultado: Projeto aprovado/Veto rejeitado - Horário de início: 16:25:38  - Horário de término: 16:27:53 - Link para projeto: http://camarapoa.rs.gov.br/processos/101219
ADELI SELL,PT,Sim
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Sim
Bernardino Vendruscolo,PMDB,Sim
Beto Moesch,PP,Representação externa
Carlos Garcia,PMDB,Não votou
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Não
Dr. Raul,PMDB,Não
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Não votou
Engº. Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Não
José Freitas,PRB,Sim
João Antonio Dib,PP,Não
João Carlos Nedel,PP,Abstenção
João Pancinha,PMDB,Não
Luciano Marcantônio,PTB,Ausente
Luiz Braz,PSDB,Não
Maria Celeste,PT,Sim
Mario Antonio Manfro,PSDB,Sim
Mario Fraga,PDT,Não
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Não
Nelcir Tessaro,PTB,Sim
Nilo Santos,PTB,Não votou
Paulinho Rubem Berta,PPS,Sim
Paulo Marques,PMDB,Não
Pedro Ruas,PSOL,Sim
Reginaldo Pujol,DEM,Sim
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Não votou
Toni Proença,PPL,Sim
Waldir Canal,PRB,Sim
