Vereador,Partido,Projeto: PLL 056/09 - PROC. 1553/09 - EMENDA 01 - Data de votação: 28/03/2012 - Autoria: LUCIANO MARCANTONIO                                - Resultado: Rejeitado - Horário de início: 17:08:08  - Horário de término: 17:11:43 - Link para projeto: http://camarapoa.rs.gov.br/processos/101239
ADELI SELL,PT,Não votou
Airto Ferronato,PSB,Não
Alceu Brasinha,PTB,Não votou
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Não
Carlos Garcia,PMDB,Não votou
Carlos Todeschini,PT,Não votou
DJ Cassiá,PTB,Não votou
Dr. Raul,PMDB,Não votou
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Não votou
Engº. Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Não votou
Idenir Cecchim,PMDB,Ausente
José Freitas,PRB,Sim
João Antonio Dib,PP,Não
João Carlos Nedel,PP,Sim
João Pancinha,PMDB,Não
Luciano Marcantônio,PTB,Não votou
Luiz Braz,PSDB,Não
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Não votou
Mario Fraga,PDT,Não votou
Maristela Maffei,PCdoB,Não votou
Mauro Pinheiro,PT,Não votou
Mauro Zacher,PDT,Não
Nelcir Tessaro,PTB,Não votou
Nilo Santos,PTB,Não votou
Paulinho Rubem Berta,PPS,Não votou
Pedro Ruas,PSOL,Sim
Reginaldo Pujol,DEM,Sim
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Não votou
Thiago Duarte,PDT,Não
Waldir Canal,PRB,Sim
