Vereador,Partido,Projeto: PLL 053/11 - PROC. 1714/11 - EMENDA 01 - Data de votação: 02/04/2012 - Autoria: BERNARDINO VENDRUSCOLO - Resultado: Aprovado - Horário de início: 20:25:26  - Horário de término: 20:27:17 - Link para projeto: http://camarapoa.rs.gov.br/processos/111925
ADELI SELL,PT,Sim
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Não votou
Bernardino Vendruscolo,PMDB,Sim
Beto Moesch,PP,Sim
Carlos Garcia,PMDB,Sim
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Não votou
Dr. Raul,PMDB,Sim
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Não votou
Engº. Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Não votou
Haroldo de Souza,PMDB,Sim
Idenir Cecchim,PMDB,Não votou
José Freitas,PRB,Sim
João Antonio Dib,PP,Abstenção
João Carlos Nedel,PP,Sim
Luciano Marcantônio,PTB,Sim
Luiz Braz,PSDB,Sim
Maria Celeste,PT,Abstenção
Mario Antonio Manfro,PSDB,Não votou
Mario Fraga,PDT,Sim
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Não votou
Nelcir Tessaro,PTB,Sim
Nilo Santos,PTB,Não votou
Paulinho Rubem Berta,PPS,Sim
Pedro Ruas,PSOL,Não votou
Reginaldo Pujol,DEM,Sim
Sebastião Melo,PMDB,Não votou
Sofia Cavedon,PT,Abstenção
Tarciso Flecha Negra,PDT,Não votou
Thiago Duarte,PDT,Sim
Toni Proença,PPL,Não votou
Waldir Canal,PRB,Não votou
