Vereador,Partido,Projeto: PLL 171/10 - PROC. 3660/10 - Data de votação: 02/05/2012 - Autoria: do Ver. Dr. Thiago Duarte                    - Resultado: Rejeitado - Horário de início: 15:18:07  - Horário de término: 15:20:17 - Link para projeto: http://camarapoa.rs.gov.br/processos/109217
ADELI SELL,PT,Não votou
Airto Ferronato,PSB,Não
Alceu Brasinha,PTB,Ausente
Bernardino Vendruscolo,PMDB,Sim
Beto Moesch,PP,Abstenção
Carlos Garcia,PMDB,Representação externa
Carlos Todeschini,PT,Não
DJ Cassiá,PTB,Não
Dr. Goular,PTB,Não votou
Elias Vidal,PPS,Não
Elói Guimarães,PTB,Não votou
Engº. Comassetto,PT,Não
Fernanda Melchionna,PSOL,Representação externa
Haroldo de Souza,PMDB,Não votou
Idenir Cecchim,PMDB,Não votou
José Freitas,PRB,Sim
João Antonio Dib,PP,Não
João Bosco Vaz,PDT,Sim
João Carlos Nedel,PP,Não
Kevin Krieger,PP,Não
Luiz Braz,PSDB,Ausente
Maria Celeste,PT,Não
Mario Antonio Manfro,PSDB,Ausente
Mauro Pinheiro,PT,Não votou
Mauro Zacher,PDT,Não votou
Márcio Bins Ely,PDT,Sim
Nelcir Tessaro,PTB,Ausente
Paulinho Rubem Berta,PPS,Ausente
Pedro Ruas,PSOL,Sim
Sebastião Melo,PMDB,Ausente
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Sim
Toni Proença,PPL,Sim
Valter Nagelstein,PMDB,Ausente
Waldir Canal,PRB,Ausente
