Vereador,Partido,Projeto: PLCL 003/11 - PROC. 0821/11 - Data de votação: 21/05/2012 - Autoria: LUIZ BRAZ - Resultado: Sem quórum - Horário de início: 17:15:29  - Horário de término: 17:17:29 - Link para projeto: http://camarapoa.rs.gov.br/processos/110997
ADELI SELL,PT,Não votou
Airto Ferronato,PSB,Não votou
Alceu Brasinha,PTB,Não
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Não votou
Carlos Garcia,PMDB,Não votou
Carlos Todeschini,PT,Não votou
DJ Cassiá,PTB,Não votou
Dr. Goular,PTB,Não votou
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Não
Engº. Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Não votou
Haroldo de Souza,PMDB,Sim
Idenir Cecchim,PMDB,Não votou
José Freitas,PRB,Sim
João Antonio Dib,PP,Não
João Bosco Vaz,PDT,Não votou
João Carlos Nedel,PP,Não votou
Kevin Krieger,PP,Não
Luiz Braz,PSDB,Não votou
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Sim
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Não votou
Márcio Bins Ely,PDT,Não votou
Nelcir Tessaro,PTB,Não votou
Paulinho Rubem Berta,PPS,Não votou
Pedro Ruas,PSOL,Não votou
Sebastião Melo,PMDB,Não votou
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Não votou
Thiago Duarte,PDT,Não votou
Toni Proença,PPL,Sim
Valter Nagelstein,PMDB,Não votou
Waldir Canal,PRB,Não votou
