Vereador,Partido,Projeto: PLCE 005/11 - PROC. 3594/11 - VETO PARCIAL - Data de votação: 25/06/2012 - Autoria: PREFEITO/PREFEITURA MUNICIPAL - Resultado: Sem quórum - Horário de início: 17:48:24  - Horário de término: 17:50:32 - Link para projeto: http://camarapoa.rs.gov.br/processos/113851
ADELI SELL,PT,Não votou
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Não votou
Bernardino Vendruscolo,PMDB,Abstenção
Beto Moesch,PP,Sim
Carlos Garcia,PMDB,Sim
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Não votou
Dr. Goular,PTB,Não
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Não votou
Engº. Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Não votou
Haroldo de Souza,PMDB,Abstenção
Idenir Cecchim,PMDB,Abstenção
Ismael Heinen,PP,Não
José Freitas,PRB,Abstenção
João Antonio Dib,PP,Abstenção
João Bosco Vaz,PDT,Não votou
João Carlos Nedel,PP,Não
Luiz Braz,PSDB,Não
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Não votou
Mauro Zacher,PDT,Não
Márcio Bins Ely,PDT,Não votou
Nelcir Tessaro,PTB,Não votou
Paulinho Rubem Berta,PPS,Não votou
Pedro Ruas,PSOL,Não votou
Sebastião Melo,PMDB,Ausente
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Não votou
Thiago Duarte,PDT,Não votou
Toni Proença,PPL,Não votou
Valter Nagelstein,PMDB,Abstenção
Waldir Canal,PRB,Não votou
