Vereador,Partido,Projeto: REQ. ADIAMENTO - PLE 009/12 - PROC. 0428/12 - Data de votação: 13/08/2012 - Autoria: GOVERNO MUNICIPAL - Resultado: Rejeitado - Horário de início: 16:53:13  - Horário de término: 16:55:17 - Link para projeto: http://camarapoa.rs.gov.br/processos/114804
ADELI SELL,PT,Não votou
Airto Ferronato,PSB,Não
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Representação externa
Carlos Garcia,PMDB,Ausente
Carlos Todeschini,PT,Não votou
DJ Cassiá,PTB,Não
Dr. Goular,PTB,Ausente
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Não
Engº. Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Não votou
Haroldo de Souza,PMDB,Não votou
Idenir Cecchim,PMDB,Não
José Freitas,PRB,Não votou
João Antonio Dib,PP,Não
João Bosco Vaz,PDT,Não
João Carlos Nedel,PP,Não votou
Kevin Krieger,PP,Não
Luiz Braz,PSDB,Não
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Não
Mauro Pinheiro,PT,Não votou
Mauro Zacher,PDT,Não votou
Márcio Bins Ely,PDT,Não
Nelcir Tessaro,PTB,Sim
Nilo Santos,PTB,Não
Paulinho Rubem Berta,PPS,Não
Paulo Marques,PMDB,Não
Pedro Ruas,PSOL,Não votou
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Ausente
Toni Proença,PPL,Não votou
Valter Nagelstein,PMDB,Não
Waldir Canal,PRB,Não
