Vereador,Partido,Projeto: PLE 009/12 0 PROC. 0428/12 - EMENDA 01 - Data de votação: 13/08/2012 - Autoria: GOVERNO MUNICIPAL - Resultado: C/Sub. - Sem quórum - Horário de início: 17:47:24  - Horário de término: 17:50:01 - Link para projeto: http://camarapoa.rs.gov.br/processos/114804
ADELI SELL,PT,Sim
Airto Ferronato,PSB,Não votou
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Representação externa
Carlos Garcia,PMDB,Ausente
Carlos Todeschini,PT,Não votou
DJ Cassiá,PTB,Sim
Dr. Goular,PTB,Não votou
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Sim
Engº. Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Não votou
Haroldo de Souza,PMDB,Sim
Idenir Cecchim,PMDB,Sim
José Freitas,PRB,Sim
João Antonio Dib,PP,Sim
João Bosco Vaz,PDT,Não votou
João Carlos Nedel,PP,Sim
Kevin Krieger,PP,Sim
Luiz Braz,PSDB,Não votou
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Sim
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Não votou
Márcio Bins Ely,PDT,Sim
Nelcir Tessaro,PTB,Não votou
Nilo Santos,PTB,Sim
Paulinho Rubem Berta,PPS,Sim
Paulo Marques,PMDB,Sim
Pedro Ruas,PSOL,Não votou
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Ausente
Toni Proença,PPL,Não votou
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Não votou
