Vereador,Partido,Projeto: PLCL 023/05 - PROC. 3243/05 - VETO TOTAL - Data de votação: 22/08/2012 - Autoria: ENGENHEIRO COMASSETTO                              - Resultado: Projeto rejeitado/Veto mantido - Horário de início: 15:26:27  - Horário de término: 15:29:04 - Link para projeto: http://camarapoa.rs.gov.br/processos/71626
ADELI SELL,PT,Sim
Airto Ferronato,PSB,Não votou
Alceu Brasinha,PTB,Não votou
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Não votou
Carlos Garcia,PMDB,Não
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Não votou
Dr. Goular,PTB,Ausente
Elias Vidal,PPS,Ausente
Elói Guimarães,PTB,Não
Engº. Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Ausente
Idenir Cecchim,PMDB,Abstenção
José Freitas,PRB,Não
João Antonio Dib,PP,Não votou
João Bosco Vaz,PDT,Não
João Carlos Nedel,PP,Sim
Kevin Krieger,PP,Sim
Luiz Braz,PSDB,Não
Maria Celeste,PT,Sim
Mario Antonio Manfro,PSDB,Não
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Não
Márcio Bins Ely,PDT,Não
Nelcir Tessaro,PTB,Ausente
Paulinho Rubem Berta,PPS,Não votou
Paulo Marques,PMDB,Não
Pedro Ruas,PSOL,Sim
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Ausente
Toni Proença,PPL,Sim
Valter Nagelstein,PMDB,Não votou
Waldir Canal,PRB,Não votou
