Vereador,Partido,Projeto: PLL 123/12 - PROC. 1531/12 - Data de votação: 05/09/2012 - Autoria: CARLOS TODESCHINI - Resultado: Aprovado - Horário de início: 15:39:34  - Horário de término: 15:41:46 - Link para projeto: http://camarapoa.rs.gov.br/processos/115940
ADELI SELL,PT,Sim
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Não votou
Bernardino Vendruscolo,PMDB,Sim
Beto Moesch,PP,Não votou
Carlos Garcia,PMDB,Sim
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Sim
Dr. Goular,PTB,Ausente
Dr. Raul,PMDB,Sim
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Sim
Engº. Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Sim
Idenir Cecchim,PMDB,Sim
José Freitas,PRB,Sim
João Antonio Dib,PP,Sim
João Bosco Vaz,PDT,Sim
João Carlos Nedel,PP,Não votou
Kevin Krieger,PP,Não votou
Luiz Braz,PSDB,Sim
Maria Celeste,PT,Sim
Mario Antonio Manfro,PSDB,Sim
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Sim
Márcio Bins Ely,PDT,Ausente
Nelcir Tessaro,PTB,Não votou
Paulinho Rubem Berta,PPS,Sim
Pedro Ruas,PSOL,Sim
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Não votou
Toni Proença,PPL,Sim
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Sim
