Vereador,Partido,"Projeto: REQ. ADIAMENTO - PROC. 2398/12 - PLCL 023/12 - Data de votação: 20/12/2012 - Autoria: JOAO CARLOS NEDEL, AIRTO FERRONATO, KEVIN KRIEGER - Resultado: Rejeitado - Horário de início: 16:21:42  - Horário de término: 16:24:17 - Link para projeto: http://camarapoa.rs.gov.br/processos/116856"
ADELI SELL,PT,Não votou
Airto Ferronato,PSB,Não
Alceu Brasinha,PTB,Não votou
Bernardino Vendruscolo,PMDB,Não
Beto Moesch,PP,Sim
Carlos Garcia,PMDB,Não votou
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Não
Dr. Goular,PTB,Não
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Não votou
Engº. Comassetto,PT,Não
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Não votou
Idenir Cecchim,PMDB,Não votou
José Freitas,PRB,Não
João Antonio Dib,PP,Não
João Carlos Nedel,PP,Não
Kevin Krieger,PP,Não
Luciano Marcantônio,PTB,Não votou
Luiz Braz,PSDB,Não
Maria Celeste,PT,Ausente
Mario Antonio Manfro,PSDB,Não
Mauro Pinheiro,PT,Não
Mauro Zacher,PDT,Não votou
Márcio Bins Ely,PDT,Não
Nelcir Tessaro,PTB,Não
Paulinho Rubem Berta,PPS,Não votou
Pedro Ruas,PSOL,Não votou
Sebastião Melo,PMDB,Não
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Não votou
Thiago Duarte,PDT,Não votou
Toni Proença,PPL,Não votou
Valter Nagelstein,PMDB,Não
Waldir Canal,PRB,Não
