Vereador,Partido,Projeto: PLL 236/11 - PROC. 4043/11 - VETO TOTAL - Data de votação: 04/03/2013 - Autoria: IDENIR CECCHIM - Resultado: Projeto aprovado/Veto rejeitado - Horário de início: 19:24:56  - Horário de término: 19:27:02 - Link para projeto: http://camarapoa.rs.gov.br/processos/114320
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Sim
Alceu Brasinha,PTB,Sim
Any Ortiz,PP,Não votou
Cassio Trogildo,PTB,Ausente
Clàudio Janta,PDT,Sim
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Não votou
João Derly,PCdoB,Sim
Jussara Cony,PCdoB,Sim
Lourdes Sprenger,PMDB,Sim
Luiza Neves,PDT,Não votou
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Não
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Representação externa
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Sim
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Sim
Pedro Ruas,PSOL,Sim
Professor Garcia,PMDB,Sim
Reginaldo Pujol,DEM,Não votou
Rodrigo Maroni,PCdoB,Sim
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Abstenção
