Vereador,Partido,Projeto: PLL 114/12 - PROC. 1211/12 - VETO TOTAL - Data de votação: 25/03/2013 - Autoria: SOFIA CAVEDON - Resultado: votação nula - Horário de início: 18:09:38  - Horário de término: 18:11:46 - Link para projeto: http://camarapoa.rs.gov.br/processos/115611
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Não votou
Alceu Brasinha,PTB,Ausente
Any Ortiz,PP,Não votou
Cassio Trogildo,PTB,Não
Clàudio Janta,PDT,Sim
Delegado Cleiton,PDT,Não votou
Dr. Thiago,PDT,Não
Elizandro Sabino,PTB,Representação externa
Engº Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Não votou
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Não votou
Joao Carlos Nedel,PP,Sim
João Derly,PCdoB,Não votou
Jussara Cony,PCdoB,Não votou
Lourdes Sprenger,PMDB,Não
Luiza Neves,PDT,Não votou
Marcelo Sgarbossa,PT,Não votou
Mario Fraga,PDT,Não
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Não votou
Márcio Bins Ely,PDT,Não
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Não votou
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Pedro Ruas,PSOL,Não votou
Professor Garcia,PMDB,Representação externa
Reginaldo Pujol,DEM,Não votou
Rodrigo Maroni,PCdoB,Não votou
Sofia Cavedon,PT,Não votou
Séfora Gomes Mota,PRB,Não votou
Tarciso Flecha Negra,PSD,Não votou
Valter Nagelstein,PMDB,Não votou
Waldir Canal,PRB,Não
