Vereador,Partido,Projeto: RENOVAÇÃO DE VOTAÇÃO - REQ. ADIAMENTO DO PROC. 2618/11 - PLL 115/11 - Data de votação: 24/04/2013 - Autoria: MAURO PINHEIRO - Resultado:  - Horário de início: 16:47:14  - Horário de término: 16:49:25 - Link para projeto: http://camarapoa.rs.gov.br/processos/112846
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Não votou
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Não votou
Cassio Trogildo,PTB,Não votou
Clàudio Janta,PDT,Não votou
Delegado Cleiton,PDT,Não votou
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Não votou
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
João Derly,PCdoB,Não votou
Jussara Cony,PCdoB,Não votou
Lourdes Sprenger,PMDB,Não
Luiza Neves,PDT,Não votou
Marcelo Sgarbossa,PT,Não votou
Mario Fraga,PDT,Não votou
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Não votou
Márcio Bins Ely,PDT,Não votou
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Não
Pedro Ruas,PSOL,Não votou
Professor Garcia,PMDB,Não
Reginaldo Pujol,DEM,Não
Roni Casa da Sopa,PTB,Sim
Sofia Cavedon,PT,Não votou
Séfora Gomes Mota,PRB,Não votou
Tarciso Flecha Negra,PSD,Não votou
Valter Nagelstein,PMDB,Não
Waldir Canal,PRB,Não
