Vereador,Partido,Projeto: PROC. 2618/11 - REQ. RENOVAÇÃO DE VOTAÇÃO - Data de votação: 29/04/2013 - Autoria: MAURO PINHEIRO - Resultado: Rejeitado - Horário de início: 15:52:39  - Horário de término: 15:54:50 - Link para projeto: http://camarapoa.rs.gov.br/processos/112846
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Sim
Any Ortiz,PP,Não
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Não votou
Clàudio Janta,PDT,Sim
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Ausente
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
João Derly,PCdoB,Ausente
Jussara Cony,PCdoB,Ausente
Lourdes Sprenger,PMDB,Ausente
Luiza Neves,PDT,Não
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Sim
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Ausente
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Pedro Ruas,PSOL,Sim
Professor Garcia,PMDB,Não
Reginaldo Pujol,DEM,Não
Roni Casa da Sopa,PTB,Não
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Não
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Não
Waldir Canal,PRB,Não
