Vereador,Partido,Projeto: PLL 016/09 - PROC. 0684/09 - EMENDA 01 - Data de votação: 15/05/2013 - Autoria: WALDIR CANAL                                       - Resultado:  - Horário de início: 15:08:14  - Horário de término: 15:10:51 - Link para projeto: http://camarapoa.rs.gov.br/processos/100356
Airto Ferronato,PSB,Ausente
Alceu Brasinha,PTB,Não votou
Any Ortiz,PP,Não
Bernardino Vendruscolo,PROS,Abstenção
Cassio Trogildo,PTB,Não
Clàudio Janta,PDT,Não votou
Delegado Cleiton,PDT,Ausente
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Não
Fernanda Melchionna,PSOL,Não
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não votou
Joao Carlos Nedel,PP,Não
João Derly,PCdoB,Sim
Jussara Cony,PCdoB,Ausente
Lourdes Sprenger,PMDB,Não
Luiza Neves,PDT,Não votou
Marcelo Sgarbossa,PT,Ausente
Mario Fraga,PDT,Não votou
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Não votou
Márcio Bins Ely,PDT,Representação externa
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Não votou
Pedro Ruas,PSOL,Não
Professor Garcia,PMDB,Não
Sofia Cavedon,PT,Não
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Abstenção
Valter Nagelstein,PMDB,Ausente
Waldir Canal,PRB,Sim
