Vereador,Partido,Projeto: PLL 226/13 - PROC. 2023/13 - Data de votação: 02/07/2013 - Autoria: MESA DIRETORA - Resultado: Aprovado - Horário de início: 18:34:45  - Horário de término: 18:36:50 - Link para projeto: http://camarapoa.rs.gov.br/processos/119297
Airto Ferronato,PSB,Ausente
Alberto Kopittke,PT,Sim
Alceu Brasinha,PTB,Ausente
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Sim
Clàudio Janta,PDT,Não
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Sim
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Ausente
Guilherme Socias Villela,PP,Não votou
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Sim
João Derly,PCdoB,Não votou
Jussara Cony,PCdoB,Sim
Lourdes Sprenger,PMDB,Sim
Luiza Neves,PDT,Sim
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Sim
Mario Manfro,PSDB,Ausente
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Não votou
Mônica Leal,PP,Não votou
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Ausente
Pedro Ruas,PSOL,Ausente
Professor Garcia,PMDB,Sim
Reginaldo Pujol,DEM,Sim
Sofia Cavedon,PT,Não votou
Séfora Gomes Mota,PRB,Ausente
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Sim
