Vereador,Partido,Projeto: PLL 017/13 - PROC. 0514/13 - EMENDA 02 - Data de votação: 28/08/2013 - Autoria: PAULO BRUM - Resultado: Rejeitado - Horário de início: 16:44:52  - Horário de término: 16:47:12 - Link para projeto: http://camarapoa.rs.gov.br/processos/117720
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Sim
Alceu Brasinha,PTB,Não
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Não
Christopher Goulart,PDT,Não
Clàudio Janta,PDT,Não
Delegado Cleiton,PDT,Não
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Idenir Cecchim,PMDB,Ausente
Joao Carlos Nedel,PP,Não
João Derly,PCdoB,Representação externa
Jussara Cony,PCdoB,Sim
Lourdes Sprenger,PMDB,Não votou
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Não
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Não votou
Márcio Bins Ely,PDT,Não
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Não votou
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Prof. Alex Fraga,PSOL,Sim
Professor Garcia,PMDB,Não
Reginaldo Pujol,DEM,Não
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Não
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Não votou
Waldir Canal,PRB,Não votou
