Vereador,Partido,Projeto: REQ. RENOVAÇÃO DE VOTAÇÃO - EMENDA 02 DO PLCE 005/13 - PROC. 1699/13 - Data de votação: 25/09/2013 - Autoria: GOVERNO MUNICIPAL - Resultado: Rejeitado - Horário de início: 15:36:08  - Horário de término: 15:38:26 - Link para projeto: http://camarapoa.rs.gov.br/processos/118954
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Sim
Alceu Brasinha,PTB,Não votou
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Não votou
Cassio Trogildo,PTB,Não votou
Christopher Goulart,PDT,Sim
Clàudio Janta,PDT,Sim
Delegado Cleiton,PDT,Não votou
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Representação externa
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
João Derly,PCdoB,Sim
Jussara Cony,PCdoB,Ausente
Lourdes Sprenger,PMDB,Não votou
Luiza Neves,PDT,Não votou
Marcelo Sgarbossa,PT,Não votou
Mario Fraga,PDT,Ausente
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não votou
Pedro Ruas,PSOL,Não votou
Professor Garcia,PMDB,Não
Reginaldo Pujol,DEM,Não
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Não votou
Tarciso Flecha Negra,PSD,Não votou
Valter Nagelstein,PMDB,Não votou
Waldir Canal,PRB,Não
