Vereador,Partido,Projeto: PLE 038/12 - PROC. 2156/12 - SUBSTITUTIVO 01 - EMENDA 08 - Data de votação: 04/11/2013 - Autoria: GOVERNO MUNICIPAL - Resultado: Rejeitado - Horário de início: 16:51:51  - Horário de término: 16:58:30 - Link para projeto: http://camarapoa.rs.gov.br/processos/116595
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Não
Alceu Brasinha,PTB,Não
Any Ortiz,PP,Não
Bernardino Vendruscolo,PROS,Não
Cassio Trogildo,PTB,Não
Clàudio Janta,PDT,Ausente
Delegado Cleiton,PDT,Abstenção
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Não
Fernanda Melchionna,PSOL,Não
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Sim
João Derly,PCdoB,Não
Lourdes Sprenger,PMDB,Não
Luiza Neves,PDT,Não
Marcelo Sgarbossa,PT,Não
Mario Fraga,PDT,Não
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Não
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Sim
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Não
Pedro Ruas,PSOL,Não votou
Professor Garcia,PMDB,Não
Reginaldo Pujol,DEM,Sim
Rodrigo Maroni,PCdoB,Ausente
Sofia Cavedon,PT,Não
Séfora Gomes Mota,PRB,Não votou
Tarciso Flecha Negra,PSD,Não
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Sim
