Vereador,Partido,Projeto: PLL 017/13 - PROC. 0514/13 - VETO TOTAL - Data de votação: 02/12/2013 - Autoria: PAULO BRUM - Resultado: Projeto aprovado/Veto rejeitado - Horário de início: 15:38:47  - Horário de término: 15:41:31 - Link para projeto: http://camarapoa.rs.gov.br/processos/117720
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Sim
Alceu Brasinha,PTB,Sim
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Sim
Clàudio Janta,PDT,Sim
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Sim
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Ausente
João Derly,PCdoB,Sim
Jussara Cony,PCdoB,Sim
Lourdes Sprenger,PMDB,Sim
Luiza Neves,PDT,Não votou
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Sim
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Ausente
Nereu D'Avila,PDT,Ausente
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Pedro Ruas,PSOL,Sim
Professor Garcia,PMDB,Sim
Reginaldo Pujol,DEM,Abstenção
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Abstenção
Waldir Canal,PRB,Sim
