Vereador,Partido,"Projeto: IND. 003/14 - PROC. 0302/14 - REQ. RETIRADA DA INDICAÇÃO - Data de votação: 12/02/2014 - Autoria: ENGENHEIRO COMASSETTO                             , ALBERTO KOPITTKE, MARCELO SGARBOSSA, MAURO PINHEIRO, SOFIA CAVEDON - Resultado: Aprovado - Horário de início: 15:47:33  - Horário de término: 15:49:46 - Link para projeto: http://camarapoa.rs.gov.br/processos/121335"
Airto Ferronato,PSB,Sim
Alberto Kopittke,PT,Não votou
Alceu Brasinha,PTB,Sim
Any Ortiz,PP,Sim
Bernardino Vendruscolo,PROS,Abstenção
Cassio Trogildo,PTB,Ausente
Clàudio Janta,SDD,Ausente
Delegado Cleiton,PDT,Abstenção
Dr. Thiago,PDT,Ausente
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Sim
João Derly,PCdoB,Sim
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Sim
Mario Manfro,PSDB,Sim
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Sim
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Não votou
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Abstenção
Valter Nagelstein,PMDB,Ausente
Waldir Canal,PRB,Sim
