Vereador,Partido,Projeto: PLL 019/09 - PROC. 0749/09 - EMENDA 01 - Data de votação: 26/02/2014 - Autoria: DR. THIAGO DUARTE                                  - Resultado:  - Horário de início: 18:27:44  - Horário de término: 18:29:53 - Link para projeto: http://camarapoa.rs.gov.br/processos/100423
Airto Ferronato,PSB,Não votou
Alberto Kopittke,PT,Não votou
Alceu Brasinha,PTB,Não votou
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Não votou
Clàudio Janta,SDD,Não votou
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Sim
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não votou
Idenir Cecchim,PMDB,Não votou
Joao Carlos Nedel,PP,Sim
João Derly,PCdoB,Não votou
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Não votou
Mario Fraga,PDT,Não votou
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Não votou
Nereu D'Avila,PDT,Não votou
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Não votou
Pedro Ruas,PSOL,Não votou
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Sim
Roni Casa da Sopa,PTB,Não votou
Sofia Cavedon,PT,Não votou
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Não votou
Valter Nagelstein,PMDB,Não votou
Waldir Canal,PRB,Não votou
