Vereador,Partido,Projeto: PLE 046/13 - PROC. 3245/13 - VETO PARCIAL - Data de votação: 12/03/2014 - Autoria: GOVERNO MUNICIPAL - Resultado: Rejeitado - Horário de início: 15:17:03  - Horário de término: 15:19:59 - Link para projeto: http://camarapoa.rs.gov.br/processos/120639
Airto Ferronato,PSB,Abstenção
Alberto Kopittke,PT,Sim
Alceu Brasinha,PTB,Abstenção
Any Ortiz,PP,Abstenção
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Sim
Elizandro Sabino,PTB,Ausente
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
João Derly,PCdoB,Sim
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Abstenção
Lourdes Sprenger,PMDB,Representação externa
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Não
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Não votou
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Ausente
Paulo Brum,PTB,Não
Pedro Ruas,PSOL,Sim
Professor Garcia,PMDB,Abstenção
Reginaldo Pujol,DEM,Não
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Representação externa
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Ausente
Waldir Canal,PRB,Não
