Vereador,Partido,Projeto: PR 003/14 - PROC. 0368/14 - Data de votação: 07/04/2014 - Autoria: MONICA LEAL - Resultado: Aprovado - Horário de início: 16:03:26  - Horário de término: 16:06:41 - Link para projeto: http://camarapoa.rs.gov.br/processos/121402
Airto Ferronato,PSB,Sim
Alberto Kopittke,PT,Não
Alceu Brasinha,PTB,Sim
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Não votou
Cassio Trogildo,PTB,Sim
Clàudio Janta,SDD,Justificado
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Sim
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Não
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Sim
João Derly,PCdoB,Não votou
Jussara Cony,PCdoB,Não votou
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Abstenção
Marcelo Sgarbossa,PT,Não
Mario Fraga,PDT,Sim
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Não votou
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Sim
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Pedro Ruas,PSOL,Não
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Sim
Sofia Cavedon,PT,Não
Séfora Gomes Mota,PRB,Não votou
Tarciso Flecha Negra,PSD,Não votou
Valter Nagelstein,PMDB,Ausente
Waldir Canal,PRB,Não votou
