Vereador,Partido,Projeto: PROC. 0149/14 - REQ. ADIAMENTO VOTAÇÃO - Data de votação: 11/06/2014 - Autoria: do Ver. Dr. Thiago                            - Resultado: Aprovado - Horário de início: 10:56:38  - Horário de término: 10:58:59 - Link para projeto: http://camarapoa.rs.gov.br/processos/121168
Airto Ferronato,PSB,Ausente
Alberto Kopittke,PT,Não votou
Alceu Brasinha,PTB,Sim
Any Ortiz,PP,Sim
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Sim
Clàudio Janta,SDD,Não
Delegado Cleiton,PDT,Ausente
Dr. Thiago,PDT,Ausente
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Não
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Sim
João Derly,PCdoB,Não votou
Jussara Cony,PCdoB,Não votou
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Não
Marcelo Sgarbossa,PT,Abstenção
Mario Fraga,PDT,Ausente
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Não votou
Nereu D'Avila,PDT,Ausente
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Sim
Pedro Ruas,PSOL,Ausente
Prof. Alex Fraga,PSOL,Ausente
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Sim
Sofia Cavedon,PT,Não votou
Séfora Gomes Mota,PRB,Ausente
Tarciso Flecha Negra,PSD,Ausente
Valter Nagelstein,PMDB,Não
Waldir Canal,PRB,Sim
