Vereador,Partido,Projeto: REQ. 070/14 - PROC. 1590/14 - Data de votação: 02/07/2014 - Autoria: ENGENHEIRO COMASSETTO                              - Resultado: Aprovado - Horário de início: 11:33:49  - Horário de término: 11:36:04 - Link para projeto: http://camarapoa.rs.gov.br/processos/122669
Airto Ferronato,PSB,Ausente
Alberto Kopittke,PT,Não votou
Alceu Brasinha,PTB,Não votou
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Sim
Christopher Goulart,PDT,Sim
Clàudio Janta,SDD,Ausente
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Ausente
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Abstenção
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Sim
João Derly,PCdoB,Não votou
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Abstenção
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Sim
Mario Manfro,PSDB,Ausente
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Ausente
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Ausente
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Pedro Ruas,PSOL,Ausente
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Sim
Sofia Cavedon,PT,Representação externa
Tarciso Flecha Negra,PSD,Ausente
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Sim
