Vereador,Partido,Projeto: PLE 041/13 - PROC. 3024/13 - MENSAGEM RETIFICATIVA - Data de votação: 06/08/2014 - Autoria: GOVERNO MUNICIPAL - Resultado: Rejeitado - Horário de início: 17:54:12  - Horário de término: 17:56:53 - Link para projeto: http://camarapoa.rs.gov.br/processos/120408
Airto Ferronato,PSB,Sim
Alberto Kopittke,PT,Ausente
Alceu Brasinha,PTB,Sim
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Não votou
Cassio Trogildo,PTB,Sim
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Ausente
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Abstenção
Fernanda Melchionna,PSOL,Abstenção
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Não votou
Joao Carlos Nedel,PP,Sim
João Derly,PCdoB,Não votou
Jussara Cony,PCdoB,Abstenção
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Ausente
Marcelo Sgarbossa,PT,Abstenção
Mario Fraga,PDT,Sim
Mario Manfro,PSDB,Sim
Mauro Pinheiro,PT,Abstenção
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Sim
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Não votou
Pedro Ruas,PSOL,Abstenção
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Sim
Sofia Cavedon,PT,Abstenção
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Sim
