Vereador,Partido,Projeto: PLL 165/12 - PROC. 2189/12 - Data de votação: 17/09/2014 - Autoria: do Ver. Engº Comassetto                           - Resultado: Aprovado - Horário de início: 15:29:59  - Horário de término: 15:32:22 - Link para projeto: http://camarapoa.rs.gov.br/processos/116634
Airto Ferronato,PSB,Não votou
Alberto Kopittke,PT,Representação externa
Alceu Brasinha,PTB,Sim
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Sim
Clàudio Janta,SDD,Não votou
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Não
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Não votou
Joao Carlos Nedel,PP,Sim
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Ausente
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Não votou
Mario Fraga,PDT,Sim
Mario Manfro,PSDB,Ausente
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Não votou
Márcio Bins Ely,PDT,Ausente
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Sim
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Sim
Pedro Ruas,PSOL,Não
Reginaldo Pujol,DEM,Ausente
Rodrigo Maroni,PCdoB,Sim
Sofia Cavedon,PT,Não votou
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Ausente
Waldir Canal,PRB,Sim
