Vereador,Partido,Projeto: PLL 015/14 - PROC. 0251/14 - Data de votação: 12/11/2014 - Autoria: do Ver. Paulinho Motorista - Resultado: Aprovado - Horário de início: 17:42:13  - Horário de término: 17:44:23 - Link para projeto: http://camarapoa.rs.gov.br/processos/121282
Alberto Kopittke,PT,Sim
Alceu Brasinha,PTB,Não votou
Cassio Trogildo,PTB,Sim
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Sim
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Sim
João Bosco Vaz,PDT,Sim
João Derly,PCdoB,Não votou
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Sim
Mario Manfro,PSDB,Sim
Mauro Pinheiro,PT,Não votou
Márcio Bins Ely,PDT,Justificado
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Não votou
Pedro Ruas,PSOL,Não votou
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Sim
Rodrigo Maroni,PCdoB,Ausente
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Ausente
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Ausente
Waldir Canal,PRB,Não votou
