Vereador,Partido,Projeto: PLE 036/14 - PROC. 2397/14 - PROJETO + EMENDAS COM PARECER PELA APROVAÇÃO-EMENDAS DESTACADAS - Data de votação: 03/12/2014 - Autoria: do Governo Municipal - Resultado: EMENDA 02 REJEITADA  - Horário de início: 15:32:19  - Horário de término: 15:34:31 - Link para projeto: http://camarapoa.rs.gov.br/processos/123501
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Ausente
Alceu Brasinha,PTB,Não
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Não votou
Dr. Thiago,PDT,Ausente
Elizandro Sabino,PTB,Ausente
Engº Comassetto,PT,Ausente
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
João Bosco Vaz,PDT,Não
João Derly,PCdoB,Sim
Jussara Cony,PCdoB,Sim
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Não
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Não votou
Mônica Leal,PP,Ausente
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Pedro Ruas,PSOL,Sim
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Não
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Não votou
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Ausente
Waldir Canal,PRB,Não
