Vereador,Partido,Projeto: REQ. 093/14 - PROC. 2409/14 - Data de votação: 15/12/2014 - Autoria: Verª Séfora Mota - Resultado: Aprovado - Horário de início: 16:02:57  - Horário de término: 16:05:11 - Link para projeto: http://camarapoa.rs.gov.br/processos/123513
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Sim
Alceu Brasinha,PTB,Não votou
Any Ortiz,PP,Ausente
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Não votou
Clàudio Janta,SDD,Não votou
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Ausente
Guilherme Socias Villela,PP,Abstenção
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Ausente
João Bosco Vaz,PDT,Não
João Derly,PCdoB,Ausente
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Abstenção
Lourdes Sprenger,PMDB,Ausente
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Abstenção
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Justificado
Mônica Leal,PP,Não votou
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Não votou
Pedro Ruas,PSOL,Ausente
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Abstenção
Sofia Cavedon,PT,Ausente
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Abstenção
Valter Nagelstein,PMDB,Não
Waldir Canal,PRB,Não votou
