Vereador,Partido,Projeto: PLCL 013/14 - PROC. 1221/14 - REQ. DISPENSA ENVIO EM.03 ÀS COMISSÕES - Data de votação: 22/12/2014 - Autoria: do Ver. João Derly - Resultado: Aprovado - Horário de início: 12:29:45  - Horário de término: 12:32:32 - Link para projeto: http://camarapoa.rs.gov.br/processos/122281
Airto Ferronato,PSB,Sim
Alberto Kopittke,PT,Não votou
Alceu Brasinha,PTB,Não votou
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Sim
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Sim
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Sim
João Derly,PCdoB,Não votou
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Sim
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Não
Mônica Leal,PP,Ausente
Nereu D'Avila,PDT,Sim
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Pedro Ruas,PSOL,Não votou
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Sim
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Abstenção
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Sim
