Vereador,Partido,Projeto: IND 062/14 - PROC. 2774/14 - Data de votação: 18/02/2015 - Autoria: Marcelo Sgarbossa - Resultado: Aprovado - Horário de início: 16:55:16  - Horário de término: 16:57:54 - Link para projeto: http://camarapoa.rs.gov.br/processos/123894
Airto Ferronato,PSB,Sim
Alberto Kopittke,PT,Não votou
Alceu Brasinha,PTB,Ausente
Bernardino Vendruscolo,PROS,Não votou
Cassio Trogildo,PTB,Sim
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dinho do Grêmio,DEM,Não votou
Dr. Thiago,PDT,Sim
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Ausente
Idenir Cecchim,PMDB,Não votou
Joao Carlos Nedel,PP,Não votou
João Bosco Vaz,PDT,Ausente
Jussara Cony,PCdoB,Não votou
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Ausente
Mauro Pinheiro,PT,Não votou
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Sim
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Prof. Alex Fraga,PSOL,Sim
Professor Garcia,PMDB,Sim
Reginaldo Pujol,DEM,Sim
Rodrigo Maroni,PCdoB,Não votou
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Ausente
Tarciso Flecha Negra,PSD,Ausente
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Sim
