Vereador,Partido,Projeto: PLL 140/09 - PROC. 3211/09 - EMENDA 05 - Data de votação: 04/03/2015 - Autoria: do Ver. Dr. Thiago Duarte                     - Resultado: Rejeitado - Horário de início: 17:24:46  - Horário de término: 17:26:51 - Link para projeto: http://camarapoa.rs.gov.br/processos/102922
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Não
Alceu Brasinha,PTB,Não votou
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Não votou
Clàudio Janta,SDD,Justificado
Delegado Cleiton,PDT,Não votou
Dinho do Grêmio,DEM,Não votou
Dr. Thiago,PDT,Sim
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Não
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não votou
Joao Carlos Nedel,PP,Não votou
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Não votou
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Não votou
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Prof. Alex Fraga,PSOL,Não
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PCdoB,Não votou
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Representação externa
Tarciso Flecha Negra,PSD,Não
Waldir Canal,PRB,Sim
