Vereador,Partido,Projeto: PLL 359/13 - PROC. 3242/13 - VETO TOTAL - Data de votação: 11/03/2015 - Autoria: da Verª Lourdes Sprenger - Resultado: sem quorum - Horário de início: 15:14:16  - Horário de término: 15:16:54 - Link para projeto: http://camarapoa.rs.gov.br/processos/120636
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Não votou
Bernardino Vendruscolo,PROS,Sim
Carlos Casartelli,PTB,Não votou
Cassio Trogildo,PTB,Não votou
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Não votou
Dinho do Grêmio,DEM,Não votou
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Justificado
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Não votou
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Ausente
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Sim
Márcio Bins Ely,PDT,Ausente
Mônica Leal,PP,Não votou
Nereu D'Avila,PDT,Não votou
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Não
Prof. Alex Fraga,PSOL,Sim
Professor Garcia,PMDB,Sim
Reginaldo Pujol,DEM,Não votou
Rodrigo Maroni,PCdoB,Não votou
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Não votou
Tarciso Flecha Negra,PSD,Sim
Waldir Canal,PRB,Não votou
