Vereador,Partido,Projeto: PLCE 010/14 - PROC. 2665/14 - Data de votação: 27/04/2015 - Autoria: Governo Municipal - Resultado: Aprovado - Horário de início: 23:15:58  - Horário de término: 23:18:38 - Link para projeto: http://camarapoa.rs.gov.br/processos/123779
Airto Ferronato,PSB,Sim
Alberto Kopittke,PT,Não
Bernardino Vendruscolo,PROS,Sim
Carlos Casartelli,PTB,Sim
Cassio Trogildo,PTB,Sim
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dinho do Grêmio,DEM,Sim
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Não
Fernanda Melchionna,PSOL,Não
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Sim
João Bosco Vaz,PDT,Sim
Jussara Cony,PCdoB,Não
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Ausente
Marcelo Sgarbossa,PT,Não
Mario Manfro,PSDB,Sim
Mauro Pinheiro,PT,Não
Mendes Ribeiro,PMDB,Sim
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Sim
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Prof. Alex Fraga,PSOL,Não
Professor Garcia,PMDB,Sim
Reginaldo Pujol,DEM,Sim
Rodrigo Maroni,PCdoB,Sim
Sofia Cavedon,PT,Não
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Sim
Waldir Canal,PRB,Sim
