Vereador,Partido,Projeto: PLL 170/13 - PROC. 1685/13 - EMENDA 11 - Data de votação: 29/04/2015 - Autoria: Ver. Nereu D'Avila - Resultado: Rejeitado - Horário de início: 20:22:38  - Horário de término: 20:24:42 - Link para projeto: http://camarapoa.rs.gov.br/processos/118940
Airto Ferronato,PSB,Ausente
Alberto Kopittke,PT,Não
Bernardino Vendruscolo,PROS,Sim
Carlos Casartelli,PTB,Não
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Não
Delegado Cleiton,PDT,Ausente
Dinho do Grêmio,DEM,Ausente
Dr. Thiago,PDT,Não
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Não
Fernanda Melchionna,PSOL,Não
Guilherme Socias Villela,PP,Ausente
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Sim
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Não
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Ausente
Marcelo Sgarbossa,PT,Não
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Não
Mônica Leal,PP,Abstenção
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Ausente
Prof. Alex Fraga,PSOL,Ausente
Professor Garcia,PMDB,Não
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PCdoB,Não
Sofia Cavedon,PT,Não
Séfora Gomes Mota,PRB,Não
Tarciso Flecha Negra,PSD,Não
Waldir Canal,PRB,Ausente
