Vereador,Partido,Projeto: IND. 004/15 - PROC. 0267/15 - Data de votação: 25/05/2015 - Autoria: Dr. Thiago - Resultado: sem quorum - Horário de início: 17:18:38  - Horário de término: 17:22:04 - Link para projeto: http://camarapoa.rs.gov.br/processos/124463
Airto Ferronato,PSB,Não votou
Alberto Kopittke,PT,Sim
Bernardino Vendruscolo,PROS,Sim
Carlos Casartelli,PTB,Abstenção
Cassio Trogildo,PTB,Abstenção
Clàudio Janta,SDD,Abstenção
Delegado Cleiton,PDT,Sim
Dinho do Grêmio,DEM,Ausente
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Justificado
Fernanda Melchionna,PSOL,Sim
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não votou
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Não votou
Marcelo Sgarbossa,PT,Ausente
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Não votou
Márcio Bins Ely,PDT,Não votou
Mônica Leal,PP,Não votou
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Abstenção
Prof. Alex Fraga,PSOL,Sim
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Abstenção
Rodrigo Maroni,PCdoB,Não votou
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Não votou
Tarciso Flecha Negra,PSD,Abstenção
Waldir Canal,PRB,Representação externa
