Vereador,Partido,Projeto: REQ. 111/15 - PROC. 1943/15 - Data de votação: 01/10/2015 - Autoria: Ver. Marcelo Sgarbossa e outros - Resultado: Rejeitado - Horário de início: 14:29:11  - Horário de término: 14:31:37 - Link para projeto: http://camarapoa.rs.gov.br/processos/126215
Airto Ferronato,PSB,Ausente
Alberto Kopittke,PT,Sim
Carlos Casartelli,PTB,Ausente
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Abstenção
Delegado Cleiton,PDT,Abstenção
Dinho do Grêmio,DEM,Não
Dr. Raul Fraga,PMDB,Não
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Ausente
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Ausente
João Bosco Vaz,PDT,Não votou
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Abstenção
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Ausente
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Abstenção
Márcio Bins Ely,PDT,Não
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PCdoB,Não
Sofia Cavedon,PT,Ausente
Séfora Gomes Mota,PRB,Ausente
Tarciso Flecha Negra,PSD,Abstenção
Titi Alvares,N/A,Sim
Waldir Canal,PRB,Não
