Vereador,Partido,Projeto: PLE 024/15 - PROC. 1959/15 - EMENDA 04 - Data de votação: 07/10/2015 - Autoria: Executivo Municipal - Resultado: Aprovado - Horário de início: 17:38:28  - Horário de término: 17:41:30 - Link para projeto: http://camarapoa.rs.gov.br/processos/126234
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Não votou
Carlos Casartelli,PTB,Sim
Cassio Trogildo,PTB,Sim
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dinho do Grêmio,DEM,Não votou
Dr. Raul Fraga,PMDB,Não
Dr. Thiago,PDT,Sim
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não votou
Joao Carlos Nedel,PP,Não
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Sim
Márcio Bins Ely,PDT,Não
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Sim
Rodrigo Maroni,PCdoB,Não votou
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Sim
Titi Alvares,N/A,Sim
Waldir Canal,PRB,Não
