Vereador,Partido,Projeto: PLCL 006/14 - PROC. 0150/14 - Data de votação: 07/10/2015 - Autoria: Ver. Marcelo Sgarbossa - Resultado: Rejeitado - Horário de início: 19:54:39  - Horário de término: 19:57:01 - Link para projeto: http://camarapoa.rs.gov.br/processos/121169
Airto Ferronato,PSB,Não votou
Alberto Kopittke,PT,Sim
Carlos Casartelli,PTB,Não votou
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Não votou
Delegado Cleiton,PDT,Não
Dinho do Grêmio,DEM,Não votou
Dr. Raul Fraga,PMDB,Sim
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não votou
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Não votou
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Não votou
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Sim
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Não
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Não votou
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não votou
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Não votou
Rodrigo Maroni,PCdoB,Não votou
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Não votou
Tarciso Flecha Negra,PSD,Não
Titi Alvares,N/A,Não votou
Waldir Canal,PRB,Não votou
