Vereador,Partido,"Projeto: PLE 025/14 - PROC. 1633/14 - VETO PARCIAL - INC. I DO ART. 4º, ART. 7º E ART. 12 - Data de votação: 21/10/2015 - Autoria: do Governo Municipal - Resultado: Aprovado - Horário de início: 16:14:25  - Horário de término: 16:16:37 - Link para projeto: http://camarapoa.rs.gov.br/processos/122712"
Airto Ferronato,PSB,Sim
Alberto Kopittke,PT,Sim
Bernardino Vendruscolo,PROS,Sim
Carlos Casartelli,PTB,Não votou
Cassio Trogildo,PTB,Não votou
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Não votou
Dinho do Grêmio,DEM,Não votou
Dr. Raul Fraga,PMDB,Sim
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Não votou
João Bosco Vaz,PDT,Sim
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Não votou
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Sim
Mauro Pinheiro,PT,Sim
Mendes Ribeiro,PMDB,Sim
Márcio Bins Ely,PDT,Justificado
Mônica Leal,PP,Ausente
Nereu D'Avila,PDT,Não votou
Paulinho Motorista,PSB,Sim
Paulinho Ruben Berta,N/A,Sim
Prof. Alex Fraga,PSOL,Sim
Rodrigo Maroni,PCdoB,Não votou
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Justificado
Tarciso Flecha Negra,PSD,Sim
Waldir Canal,PRB,Sim
