Vereador,Partido,Projeto: REQ. 125/15 - PROC. 2258/15 - Data de votação: 18/11/2015 - Autoria: Ver. Clàudio Janta - Resultado: Rejeitado - Horário de início: 18:07:27  - Horário de término: 18:10:41 - Link para projeto: http://camarapoa.rs.gov.br/processos/126546
Airto Ferronato,PSB,Não votou
Alberto Terres,N/A,Não votou
Antonio Matos,N/A,Não votou
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Abstenção
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dinho do Grêmio,DEM,Não votou
Dr. Goulart,PTB,Não votou
Dr. Raul Fraga,PMDB,Não
Dr. Thiago,PDT,Sim
Eder Carteiro,N/A,Não votou
Elizandro Sabino,PTB,Não votou
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Não
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Justificado
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Não votou
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não votou
Prof. Alex Fraga,PSOL,Sim
Pérola Sampaio,N/A,Não votou
Reginaldo Pujol,DEM,Abstenção
Rodrigo Maroni,PCdoB,Não votou
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Abstenção
Waldir Canal,PRB,Não
