Vereador,Partido,Projeto: PLL 137/14 - PROC. 1453/14 - REQ. RENOVAÇÃO DE VOTAÇÃO - Data de votação: 18/11/2015 - Autoria: Verª Mônica Leal - Resultado: Aprovado - Horário de início: 18:12:11  - Horário de término: 18:14:30 - Link para projeto: http://camarapoa.rs.gov.br/processos/122522
Airto Ferronato,PSB,Não votou
Alberto Terres,N/A,Sim
Antonio Matos,N/A,Sim
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Sim
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dinho do Grêmio,DEM,Não votou
Dr. Goulart,PTB,Não votou
Dr. Raul Fraga,PMDB,Sim
Dr. Thiago,PDT,Sim
Eder Carteiro,N/A,Sim
Elizandro Sabino,PTB,Não votou
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Sim
João Bosco Vaz,PDT,Sim
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Sim
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Justificado
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Não votou
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Não votou
Prof. Alex Fraga,PSOL,Sim
Pérola Sampaio,N/A,Não votou
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PCdoB,Não votou
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Abstenção
Waldir Canal,PRB,Não votou
