Vereador,Partido,Projeto: PLL 065/15 - PROC. 0742/15 - EMENDA 02 - RENOVAÇÃO DE VOTAÇÃO - Data de votação: 23/11/2015 - Autoria: Ver. Delegado Cleiton - Resultado: Rejeitado - Horário de início: 17:07:17  - Horário de término: 17:09:53 - Link para projeto: http://camarapoa.rs.gov.br/processos/124959
Airto Ferronato,PSB,Não
Alberto Terres,N/A,Não
Antonio Matos,N/A,Não
Bernardino Vendruscolo,PROS,Não
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Não
Delegado Cleiton,PDT,Não
Dinho do Grêmio,DEM,Não
Dr. Goulart,PTB,Não
Dr. Raul Fraga,PMDB,Não
Dr. Thiago,PDT,Não
Eder Carteiro,N/A,Não
Elizandro Sabino,PTB,Não votou
Fernanda Melchionna,PSOL,Não
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Abstenção
Joao Carlos Nedel,PP,Sim
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Não
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Não votou
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Não
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Não
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não votou
Prof. Alex Fraga,PSOL,Não
Pérola Sampaio,N/A,Não
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PCdoB,Não
Séfora Gomes Mota,PRB,Não
Tarciso Flecha Negra,PSD,Não
Waldir Canal,PRB,Representação externa
