Vereador,Partido,Projeto: PLL 012/09 - PROC. 0674/09 - EMENDA 01 - Data de votação: 25/11/2015 - Autoria: do Ver. Waldir Canal                                       - Resultado: votação nula  - Horário de início: 18:40:13  - Horário de término: 18:43:50 - Link para projeto: http://camarapoa.rs.gov.br/processos/100346
Airto Ferronato,PSB,Não votou
Alberto Kopittke,PT,Não votou
Antonio Matos,N/A,Não votou
Bernardino Vendruscolo,PROS,Não votou
Cassio Trogildo,PTB,Não votou
Clàudio Janta,SDD,Não votou
Delegado Cleiton,PDT,Não votou
Dinho do Grêmio,DEM,Abstenção
Dr. Goulart,PTB,Abstenção
Dr. Raul Fraga,PMDB,Não votou
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Abstenção
Fernanda Melchionna,PSOL,Não votou
Guilherme Socias Villela,PP,Não votou
Idenir Cecchim,PMDB,Abstenção
Joao Carlos Nedel,PP,Não votou
João Bosco Vaz,PDT,Não votou
Jussara Cony,PCdoB,Não votou
Kevin Krieger,PP,Não votou
Lourdes Sprenger,PMDB,Não votou
Marcelo Sgarbossa,PT,Não votou
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Não votou
Márcio Bins Ely,PDT,Justificado
Mônica Leal,PP,Não votou
Nereu D'Avila,PDT,Não votou
Paulinho Motorista,PSB,Abstenção
Paulo Brum,PTB,Não votou
Prof. Alex Fraga,PSOL,Não votou
Pérola Sampaio,N/A,Não votou
Reginaldo Pujol,DEM,Sim
Rodrigo Maroni,PCdoB,Não votou
Séfora Gomes Mota,PRB,Não
Tarciso Flecha Negra,PSD,Sim
Waldir Canal,PRB,Não votou
