Vereador,Partido,Projeto: PLCE 002/15 - PROC. 0427/15 - EMENDA 03 - Data de votação: 14/12/2015 - Autoria: Executivo Municipal - Resultado: Rejeitado - Horário de início: 18:20:35  - Horário de término: 18:23:22 - Link para projeto: http://camarapoa.rs.gov.br/processos/124628
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Não votou
Bernardino Vendruscolo,PROS,Não
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Abstenção
Delegado Cleiton,PDT,Não votou
Dr. Goulart,PTB,Não
Dr. Raul Fraga,PMDB,Não
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Abstenção
Fernanda Melchionna,PSOL,Abstenção
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Abstenção
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Não
Marcelo Sgarbossa,PT,Abstenção
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Não
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Não
Mônica Leal,PP,Ausente
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Não
Paulinho Ruben Berta,N/A,Não votou
Paulo Brum,PTB,Não
Prof. Alex Fraga,PSOL,Não votou
Reginaldo Pujol,DEM,Não votou
Rodrigo Maroni,PCdoB,Não votou
Sofia Cavedon,PT,Abstenção
Séfora Gomes Mota,PRB,Não votou
Tarciso Flecha Negra,PSD,Ausente
Waldir Canal,PRB,Não
