Vereador,Partido,Projeto: PLL 237/14 - PROC. 2566/14 - EMENDA 01 - Data de votação: 16/12/2015 - Autoria: Dr. Raul Fraga - Resultado: Votação nula - Horário de início: 19:34:05  - Horário de término: 19:36:09 - Link para projeto: http://camarapoa.rs.gov.br/processos/123679
Airto Ferronato,PSB,Não votou
Alberto Kopittke,PT,Não votou
Bernardino Vendruscolo,PROS,Não votou
Carlos Casartelli,PTB,Não votou
Clàudio Janta,SDD,Não votou
Delegado Cleiton,PDT,Sim
Dr. Cristaldo,PDT,Não votou
Dr. Goulart,PTB,Não votou
Dr. Raul Fraga,PMDB,Sim
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Não votou
Guilherme Socias Villela,PP,Não votou
Idenir Cecchim,PMDB,Não votou
Joao Carlos Nedel,PP,Não votou
Jussara Cony,PCdoB,Não votou
Kevin Krieger,PP,Não votou
Lourdes Sprenger,PMDB,Não votou
Marcelo Sgarbossa,PT,Não votou
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Sim
Mendes Ribeiro,PMDB,Não votou
Márcio Bins Ely,PDT,Não votou
Mônica Leal,PP,Ausente
Paulinho Motorista,PSB,Sim
Paulinho Ruben Berta,N/A,Não votou
Paulo Brum,PTB,Não votou
Prof. Alex Fraga,PSOL,Não votou
Reginaldo Pujol,DEM,Sim
Rodrigo Maroni,PCdoB,Não votou
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Não votou
Tarciso Flecha Negra,PSD,Sim
Waldir Canal,PRB,Representação externa
